Month,TagName,
"2008-07-01 00:00:00","c#","3"
"2008-07-01 00:00:00","css","1"
"2008-07-01 00:00:00","html","1"
"2008-08-01 00:00:00","android","4"
"2008-08-01 00:00:00","arrays","27"
"2008-08-01 00:00:00","asp.net","253"
"2008-08-01 00:00:00","c","85"
"2008-08-01 00:00:00","c#","513"
"2008-08-01 00:00:00","c++","164"
"2008-08-01 00:00:00","css","62"
"2008-08-01 00:00:00","html","111"
"2008-08-01 00:00:00","ios","9"
"2008-08-01 00:00:00","java","220"
"2008-08-01 00:00:00","javascript","161"
"2008-08-01 00:00:00","jquery","28"
"2008-08-01 00:00:00","mysql","75"
"2008-08-01 00:00:00","objective-c","20"
"2008-08-01 00:00:00","php","162"
"2008-08-01 00:00:00","python","124"
"2008-08-01 00:00:00","ruby-on-rails","43"
"2008-08-01 00:00:00","sql","148"
"2008-09-01 00:00:00","android","9"
"2008-09-01 00:00:00","arrays","74"
"2008-09-01 00:00:00","asp.net","835"
"2008-09-01 00:00:00","c","320"
"2008-09-01 00:00:00","c#","1650"
"2008-09-01 00:00:00","c++","757"
"2008-09-01 00:00:00","css","237"
"2008-09-01 00:00:00","html","327"
"2008-09-01 00:00:00","ios","17"
"2008-09-01 00:00:00","java","1138"
"2008-09-01 00:00:00","javascript","640"
"2008-09-01 00:00:00","jquery","137"
"2008-09-01 00:00:00","mysql","227"
"2008-09-01 00:00:00","objective-c","51"
"2008-09-01 00:00:00","php","483"
"2008-09-01 00:00:00","python","543"
"2008-09-01 00:00:00","r","6"
"2008-09-01 00:00:00","ruby-on-rails","227"
"2008-09-01 00:00:00","sql","505"
"2008-10-01 00:00:00","android","11"
"2008-10-01 00:00:00","arrays","118"
"2008-10-01 00:00:00","asp.net","928"
"2008-10-01 00:00:00","c","303"
"2008-10-01 00:00:00","c#","1990"
"2008-10-01 00:00:00","c++","813"
"2008-10-01 00:00:00","css","226"
"2008-10-01 00:00:00","html","330"
"2008-10-01 00:00:00","ios","27"
"2008-10-01 00:00:00","java","1152"
"2008-10-01 00:00:00","javascript","725"
"2008-10-01 00:00:00","jquery","259"
